13:09:18.243 [commands] INFO  GenCommands - 9:10:8
13:09:19.258 [commands] INFO  GenCommands - 10:6:5
13:09:19.820 [main] INFO  UserInput - Changed time interval: 1000
13:09:20.273 [commands] INFO  GenCommands - 1:5:8
13:09:21.280 [commands] INFO  GenCommands - 1:4:6
13:09:22.010 [main] INFO  UserInput - 3:4:5
13:09:22.287 [commands] INFO  GenCommands - 8:2:3
13:09:23.301 [commands] INFO  GenCommands - 8:3:3
13:50:14.285 [commands] INFO  GenCommands - 1:8:7
13:50:15.289 [commands] INFO  GenCommands - 4:5:2
13:50:15.543 [main] INFO  UserInput - Changed time interval: 1000
13:50:16.303 [commands] INFO  GenCommands - 1:2:8
13:50:17.316 [commands] INFO  GenCommands - 7:3:8
13:50:17.338 [main] INFO  UserInput - 3:4:5
13:50:18.318 [commands] INFO  GenCommands - 9:5:5
13:50:19.331 [commands] INFO  GenCommands - 3:9:4
13:50:20.343 [commands] INFO  GenCommands - 4:9:7
13:50:21.348 [commands] INFO  GenCommands - 5:8:7
13:50:22.350 [commands] INFO  GenCommands - 4:10:5
13:50:23.358 [commands] INFO  GenCommands - 1:6:5
13:50:23.863 [main] INFO  UserInput - 3:4:5
13:50:23.866 [main] INFO  UserInput - 3:4:5
13:50:24.373 [commands] INFO  GenCommands - 10:6:1
13:50:25.380 [commands] INFO  GenCommands - 8:3:8
14:04:30.870 [commands] INFO  GenCommands - 6:7:1
14:04:31.878 [commands] INFO  GenCommands - 9:4:6
14:04:32.884 [commands] INFO  GenCommands - 10:2:7
14:04:33.886 [commands] INFO  GenCommands - 5:3:5
14:04:34.889 [commands] INFO  GenCommands - 8:10:2
14:04:35.890 [commands] INFO  GenCommands - 10:2:4
14:04:36.904 [commands] INFO  GenCommands - 8:6:2
14:04:37.173 [main] INFO  UserInput - 1:2:3
14:04:37.914 [commands] INFO  GenCommands - 3:10:1
14:04:38.926 [commands] INFO  GenCommands - 9:8:5
14:04:39.931 [commands] INFO  GenCommands - 4:9:3
14:04:40.942 [commands] INFO  GenCommands - 7:9:6
14:04:41.947 [commands] INFO  GenCommands - 2:4:6
14:04:42.956 [commands] INFO  GenCommands - 7:4:6
14:04:43.971 [commands] INFO  GenCommands - 3:5:5
14:04:44.972 [commands] INFO  GenCommands - 7:5:4
14:04:45.982 [commands] INFO  GenCommands - 9:2:4
14:04:46.983 [commands] INFO  GenCommands - 5:3:3
14:04:47.995 [commands] INFO  GenCommands - 3:1:5
14:04:49.007 [commands] INFO  GenCommands - 2:7:6
14:04:50.010 [commands] INFO  GenCommands - 7:8:8
14:04:51.017 [commands] INFO  GenCommands - 4:7:3
14:04:52.025 [commands] INFO  GenCommands - 7:9:1
14:04:53.039 [commands] INFO  GenCommands - 2:9:7
14:04:54.054 [commands] INFO  GenCommands - 5:2:3
14:21:45.945 [commands] INFO  GenCommands - 14:21:45.940130600 9:3:4
14:21:46.950 [commands] INFO  GenCommands - 14:21:46.950727400 2:8:4
14:21:47.951 [commands] INFO  GenCommands - 14:21:47.951638400 5:3:6
14:21:48.958 [commands] INFO  GenCommands - 14:21:48.958554700 7:8:6
14:21:48.990 [main] INFO  UserInput - 1:2:3
14:21:49.971 [commands] INFO  GenCommands - 14:21:49.971476900 2:3:1
14:21:50.984 [commands] INFO  GenCommands - 14:21:50.984399200 3:5:5
14:21:51.985 [commands] INFO  GenCommands - 14:21:51.985309900 9:8:7
14:21:52.991 [commands] INFO  GenCommands - 14:21:52.991482400 4:6:4
14:21:54.002 [commands] INFO  GenCommands - 14:21:54.002880100 10:8:3
14:21:55.008 [commands] INFO  GenCommands - 14:21:55.008796 7:2:7
14:21:56.023 [commands] INFO  GenCommands - 14:21:56.023719900 5:8:7
14:21:57.037 [commands] INFO  GenCommands - 14:21:57.037642600 1:6:8
14:21:58.052 [commands] INFO  GenCommands - 14:21:58.052566600 4:10:7
14:21:59.062 [commands] INFO  GenCommands - 14:21:59.062989600 7:6:3
14:22:00.077 [commands] INFO  GenCommands - 14:22:00.077725700 5:4:8
14:22:01.088 [commands] INFO  GenCommands - 14:22:01.088469 7:4:3
14:22:02.102 [commands] INFO  GenCommands - 14:22:02.102708900 8:10:5
14:22:03.103 [commands] INFO  GenCommands - 14:22:03.103619900 3:5:7
14:22:04.118 [commands] INFO  GenCommands - 14:22:04.118544600 4:1:6
14:22:05.134 [commands] INFO  GenCommands - 14:22:05.133468 4:7:6
14:22:06.144 [commands] INFO  GenCommands - 14:22:06.144388600 9:7:5
14:22:07.159 [commands] INFO  GenCommands - 14:22:07.159312700 5:4:5
14:22:08.161 [commands] INFO  GenCommands - 14:22:08.161947700 6:10:5
14:22:09.176 [commands] INFO  GenCommands - 14:22:09.176934 10:4:1
14:22:10.182 [commands] INFO  GenCommands - 14:22:10.182552300 3:2:4
14:22:11.192 [commands] INFO  GenCommands - 14:22:11.192682100 9:1:3
14:22:12.207 [commands] INFO  GenCommands - 14:22:12.207606500 3:10:5
14:22:13.215 [commands] INFO  GenCommands - 14:22:13.215523700 5:2:8
14:22:14.222 [commands] INFO  GenCommands - 14:22:14.222440300 3:1:2
14:22:15.236 [commands] INFO  GenCommands - 14:22:15.236877900 1:2:8
14:22:16.243 [commands] INFO  GenCommands - 14:22:16.243864800 6:5:5
14:22:17.258 [commands] INFO  GenCommands - 14:22:17.258465100 7:10:8
14:22:18.269 [commands] INFO  GenCommands - 14:22:18.269469700 5:7:8
14:22:19.274 [commands] INFO  GenCommands - 14:22:19.273432900 4:8:2
14:22:20.287 [commands] INFO  GenCommands - 14:22:20.287662800 10:2:3
14:22:21.302 [commands] INFO  GenCommands - 14:22:21.302586300 8:9:7
14:22:22.315 [commands] INFO  GenCommands - 14:22:22.315508300 4:7:1
14:22:23.330 [commands] INFO  GenCommands - 14:22:23.330432600 3:4:2
14:22:24.341 [commands] INFO  GenCommands - 14:22:24.341857300 6:7:5
14:22:25.352 [commands] INFO  GenCommands - 14:22:25.352141900 8:5:8
14:22:26.355 [commands] INFO  GenCommands - 14:22:26.355910 9:6:2
14:22:27.362 [commands] INFO  GenCommands - 14:22:27.362337200 10:8:4
14:22:28.363 [commands] INFO  GenCommands - 14:22:28.363248700 2:5:4
14:22:29.364 [commands] INFO  GenCommands - 14:22:29.364160 5:7:2
14:22:30.379 [commands] INFO  GenCommands - 14:22:30.379084300 8:6:3
14:22:31.388 [commands] INFO  GenCommands - 14:22:31.388103400 6:3:2
14:22:32.391 [commands] INFO  GenCommands - 14:22:32.391213200 4:2:5
14:22:33.392 [commands] INFO  GenCommands - 14:22:33.392039100 1:8:2
14:22:34.397 [commands] INFO  GenCommands - 14:22:34.397974 5:7:8
14:22:35.402 [commands] INFO  GenCommands - 14:22:35.402888500 10:5:6
14:22:36.411 [commands] INFO  GenCommands - 14:22:36.411807 8:9:2
14:22:37.426 [commands] INFO  GenCommands - 14:22:37.426731200 4:7:7
14:22:38.433 [commands] INFO  GenCommands - 14:22:38.433647400 2:6:2
14:22:39.444 [commands] INFO  GenCommands - 14:22:39.444568200 3:1:1
14:22:40.455 [commands] INFO  GenCommands - 14:22:40.455833 7:6:1
14:22:41.463 [commands] INFO  GenCommands - 14:22:41.463959200 7:10:5
14:22:42.476 [commands] INFO  GenCommands - 14:22:42.476845 8:6:7
14:22:43.483 [commands] INFO  GenCommands - 14:22:43.483761600 10:9:3
14:22:44.493 [commands] INFO  GenCommands - 14:22:44.493681 3:1:2
14:22:45.496 [commands] INFO  GenCommands - 14:22:45.496594300 1:9:8
14:22:46.510 [commands] INFO  GenCommands - 14:22:46.510891100 9:1:2
14:22:47.521 [commands] INFO  GenCommands - 14:22:47.521811300 2:5:5
14:22:48.522 [commands] INFO  GenCommands - 14:22:48.522937400 10:1:3
14:22:49.537 [commands] INFO  GenCommands - 14:22:49.537411100 2:9:8
14:22:50.543 [commands] INFO  GenCommands - 14:22:50.543448700 10:3:3
14:22:51.556 [commands] INFO  GenCommands - 14:22:51.556708700 9:10:6
14:22:52.567 [commands] INFO  GenCommands - 14:22:52.567629800 6:3:5
14:22:53.582 [commands] INFO  GenCommands - 14:22:53.582553 10:7:3
14:22:54.593 [commands] INFO  GenCommands - 14:22:54.593009600 2:7:8
14:22:55.593 [commands] INFO  GenCommands - 14:22:55.593921400 5:8:6
14:22:56.596 [commands] INFO  GenCommands - 14:22:56.596592100 2:9:5
14:24:02.373 [commands] INFO  GenCommands - 14:24:02.369341900 3:5:4
14:24:03.377 [commands] INFO  GenCommands - 14:24:03.377140200 4:8:2
14:24:04.384 [commands] INFO  GenCommands - 14:24:04.384056500 9:7:6
14:24:05.395 [commands] INFO  GenCommands - 14:24:05.395315400 5:8:2
14:24:06.398 [commands] INFO  GenCommands - 14:24:06.398228100 6:4:6
14:24:07.408 [commands] INFO  GenCommands - 14:24:07.408147500 3:7:5
14:24:08.421 [commands] INFO  GenCommands - 14:24:08.421069600 5:9:1
14:24:09.433 [commands] INFO  GenCommands - 14:24:09.433352300 8:4:1
14:24:10.440 [commands] INFO  GenCommands - 14:24:10.440159100 6:7:4
14:24:11.453 [commands] INFO  GenCommands - 14:24:11.453903600 7:2:7
14:24:12.468 [commands] INFO  GenCommands - 14:24:12.468040800 8:6:7
14:24:13.471 [commands] INFO  GenCommands - 14:24:13.471954800 9:3:5
14:24:14.482 [commands] INFO  GenCommands - 14:24:14.482875800 7:8:7
14:24:15.496 [commands] INFO  GenCommands - 14:24:15.496799400 1:5:2
14:24:16.509 [commands] INFO  GenCommands - 14:24:16.509720500 8:5:6
14:24:17.524 [commands] INFO  GenCommands - 14:24:17.524115600 6:9:5
14:24:18.525 [commands] INFO  GenCommands - 14:24:18.525227200 7:6:4
14:24:19.526 [commands] INFO  GenCommands - 14:24:19.526138400 5:2:3
14:24:20.527 [commands] INFO  GenCommands - 14:24:20.527094300 4:3:4
14:24:21.528 [commands] INFO  GenCommands - 14:24:21.528006400 9:6:5
14:24:22.530 [commands] INFO  GenCommands - 14:24:22.530919300 6:7:1
14:24:23.545 [commands] INFO  GenCommands - 14:24:23.545842400 9:8:7
14:24:24.550 [commands] INFO  GenCommands - 14:24:24.550757600 7:6:6
14:24:25.561 [commands] INFO  GenCommands - 14:24:25.561114400 8:9:1
14:24:26.568 [commands] INFO  GenCommands - 14:24:26.568571400 2:10:6
14:24:27.577 [commands] INFO  GenCommands - 14:24:27.577513600 1:7:3
14:24:28.578 [commands] INFO  GenCommands - 14:24:28.578586300 4:8:4
14:24:29.589 [commands] INFO  GenCommands - 14:24:29.589506900 7:2:7
14:24:30.592 [commands] INFO  GenCommands - 14:24:30.592420300 2:5:5
14:24:31.595 [commands] INFO  GenCommands - 14:24:31.595332700 1:8:6
14:24:32.597 [commands] INFO  GenCommands - 14:24:32.597244900 10:5:4
14:24:33.605 [commands] INFO  GenCommands - 14:24:33.605323200 9:1:7
14:24:34.613 [commands] INFO  GenCommands - 14:24:34.613784500 8:2:5
14:24:35.620 [commands] INFO  GenCommands - 14:24:35.620242100 4:9:3
14:24:36.635 [commands] INFO  GenCommands - 14:24:36.635166800 2:1:4
14:24:37.649 [commands] INFO  GenCommands - 14:24:37.649089100 10:7:7
14:24:38.664 [commands] INFO  GenCommands - 14:24:38.664013100 6:9:7
14:24:39.678 [commands] INFO  GenCommands - 14:24:39.678937900 6:4:8
14:24:40.691 [commands] INFO  GenCommands - 14:24:40.691859200 8:7:6
14:24:41.692 [commands] INFO  GenCommands - 14:24:41.692460400 1:5:4
14:24:42.707 [commands] INFO  GenCommands - 14:24:42.707046300 9:3:6
14:24:43.713 [commands] INFO  GenCommands - 14:24:43.713417600 9:5:3
