09:27:53.260 [main] INFO  GenCommands - 1000 6:2:3
09:27:53.260 [commands] INFO  GenCommands - 1000 10:7:4
09:27:54.271 [commands] INFO  GenCommands - 1000 9:5:6
09:27:54.271 [main] INFO  GenCommands - 1000 7:10:6
09:27:55.278 [main] INFO  GenCommands - 1000 3:7:4
09:27:55.278 [commands] INFO  GenCommands - 1000 1:10:4
09:27:56.290 [main] INFO  GenCommands - 1000 4:6:4
09:27:56.290 [commands] INFO  GenCommands - 1000 3:3:2
09:27:57.300 [commands] INFO  GenCommands - 1000 10:5:1
09:27:57.300 [main] INFO  GenCommands - 1000 2:8:6
09:27:58.315 [main] INFO  GenCommands - 1000 6:10:7
09:27:58.315 [commands] INFO  GenCommands - 1000 6:10:7
09:27:59.327 [main] INFO  GenCommands - 1000 6:9:2
09:27:59.327 [commands] INFO  GenCommands - 1000 9:8:8
09:28:00.343 [main] INFO  GenCommands - 1000 9:4:8
09:28:00.343 [commands] INFO  GenCommands - 1000 10:3:4
09:28:01.358 [commands] INFO  GenCommands - 1000 7:7:2
09:28:01.358 [main] INFO  GenCommands - 1000 8:5:8
09:42:07.317 [commands] INFO  GenCommands - 1000 3:8:6
09:42:08.326 [commands] INFO  GenCommands - 1000 8:3:1
09:42:09.334 [commands] INFO  GenCommands - 1000 10:7:4
09:42:10.339 [commands] INFO  GenCommands - 1000 6:4:5
09:42:11.346 [commands] INFO  GenCommands - 500 8:1:3
09:42:11.850 [commands] INFO  GenCommands - 500 6:6:7
09:42:12.351 [commands] INFO  GenCommands - 500 7:5:7
09:42:12.854 [commands] INFO  GenCommands - 500 5:1:8
09:42:13.369 [commands] INFO  GenCommands - 500 10:7:8
09:42:13.879 [commands] INFO  GenCommands - 500 9:1:4
09:42:14.394 [commands] INFO  GenCommands - 500 6:9:4
09:42:14.895 [commands] INFO  GenCommands - 2000 7:8:2
09:42:16.905 [commands] INFO  GenCommands - 2000 5:3:8
10:26:26.911 [commands] INFO  GenCommands - 1000 1:4:6
10:26:27.928 [commands] INFO  GenCommands - 1000 4:7:7
10:26:28.941 [commands] INFO  GenCommands - 1000 4:6:7
10:26:29.948 [commands] INFO  GenCommands - 1000 7:6:2
10:26:30.953 [commands] INFO  GenCommands - 1000 4:1:1
10:26:31.968 [commands] INFO  GenCommands - 1000 3:3:5
10:26:32.979 [commands] INFO  GenCommands - 1000 3:4:1
10:26:33.992 [commands] INFO  GenCommands - 1000 6:10:5
10:26:34.999 [commands] INFO  GenCommands - 1000 10:1:5
10:26:36.011 [commands] INFO  GenCommands - 1000 4:10:5
10:26:37.026 [commands] INFO  GenCommands - 1000 7:8:5
10:26:38.032 [commands] INFO  GenCommands - 1000 5:1:7
10:26:39.034 [commands] INFO  GenCommands - 1000 9:7:8
10:26:40.039 [commands] INFO  GenCommands - 1000 4:4:7
10:26:41.053 [commands] INFO  GenCommands - 1000 6:6:1
10:26:42.053 [commands] INFO  GenCommands - 1000 7:7:3
10:26:43.064 [commands] INFO  GenCommands - 1000 3:3:3
10:26:44.067 [commands] INFO  GenCommands - 1000 8:8:6
10:26:45.082 [commands] INFO  GenCommands - 1000 3:10:3
10:26:46.091 [commands] INFO  GenCommands - 2000 7:5:6
10:26:48.105 [commands] INFO  GenCommands - 2000 1:5:7
10:26:50.117 [commands] INFO  GenCommands - 2000 3:10:7
10:26:52.125 [commands] INFO  GenCommands - 2000 1:7:1
10:26:54.126 [commands] INFO  GenCommands - 2000 6:10:3
10:26:56.139 [commands] INFO  GenCommands - 2000 6:3:4
10:50:04.699 [commands] INFO  GenCommands - 1000 6:5:2
10:50:05.715 [commands] INFO  GenCommands - 1000 4:2:7
10:50:06.729 [commands] INFO  GenCommands - 1000 9:1:4
10:50:07.742 [commands] INFO  GenCommands - 1000 2:6:7
10:50:08.751 [commands] INFO  GenCommands - 1000 5:3:6
10:50:09.765 [commands] INFO  GenCommands - 1000 8:3:3
10:50:10.778 [commands] INFO  GenCommands - 1000 1:3:8
10:50:11.789 [commands] INFO  GenCommands - 1000 3:1:4
10:50:12.804 [commands] INFO  GenCommands - 1000 8:7:3
10:50:13.816 [commands] INFO  GenCommands - 1000 3:7:5
10:50:14.816 [commands] INFO  GenCommands - 1000 9:1:5
10:50:15.827 [commands] INFO  GenCommands - 1000 2:6:6
10:50:16.842 [commands] INFO  GenCommands - 1000 10:5:5
10:50:17.854 [commands] INFO  GenCommands - 1000 5:9:3
10:50:18.862 [commands] INFO  GenCommands - 1000 7:10:4
10:50:19.875 [commands] INFO  GenCommands - 1000 9:7:2
10:50:20.888 [commands] INFO  GenCommands - 1000 7:1:7
10:50:21.895 [commands] INFO  GenCommands - 1000 1:6:2
10:50:22.901 [commands] INFO  GenCommands - 1000 4:10:7
10:50:23.914 [commands] INFO  GenCommands - 1000 4:8:5
10:50:24.926 [commands] INFO  GenCommands - 1000 6:7:4
10:50:28.330 [commands] INFO  GenCommands - 1000 2:1:7
10:50:29.341 [commands] INFO  GenCommands - 1000 2:1:6
10:50:30.349 [commands] INFO  GenCommands - 1000 1:2:2
10:50:31.358 [commands] INFO  GenCommands - 1000 2:1:8
10:50:32.361 [commands] INFO  GenCommands - 1000 1:2:6
10:50:33.374 [commands] INFO  GenCommands - 1000 2:1:4
10:50:34.383 [commands] INFO  GenCommands - 1000 2:1:6
10:50:35.388 [commands] INFO  GenCommands - 1000 1:2:2
10:50:36.393 [commands] INFO  GenCommands - 1000 2:1:7
10:50:37.401 [commands] INFO  GenCommands - 1000 2:1:3
10:50:38.402 [commands] INFO  GenCommands - 1000 1:2:6
10:50:39.415 [commands] INFO  GenCommands - 1000 1:2:7
10:50:40.426 [commands] INFO  GenCommands - 1000 2:1:6
10:50:41.440 [commands] INFO  GenCommands - 1000 2:1:5
10:50:42.442 [commands] INFO  GenCommands - 1000 2:1:1
10:50:43.453 [commands] INFO  GenCommands - 1000 2:1:1
10:50:44.466 [commands] INFO  GenCommands - 1000 1:2:1
10:50:45.467 [commands] INFO  GenCommands - 1000 2:1:2
10:50:46.473 [commands] INFO  GenCommands - 1000 2:1:6
10:50:47.484 [commands] INFO  GenCommands - 1000 2:1:6
10:50:48.497 [commands] INFO  GenCommands - 1000 1:2:4
10:50:49.500 [commands] INFO  GenCommands - 1000 1:2:5
10:50:50.507 [commands] INFO  GenCommands - 1000 1:2:1
10:50:51.510 [commands] INFO  GenCommands - 1000 2:1:5
11:14:37.612 [commands] INFO  GenCommands - 1000 8:1:2
11:14:38.624 [commands] INFO  GenCommands - 1000 8:2:5
11:14:39.636 [commands] INFO  GenCommands - 1000 9:7:5
11:14:40.646 [commands] INFO  GenCommands - 1000 9:10:7
11:14:41.659 [commands] INFO  GenCommands - 1000 7:1:4
11:14:42.668 [commands] INFO  GenCommands - 1000 10:3:2
11:14:43.683 [commands] INFO  GenCommands - 1000 1:3:8
11:14:44.686 [commands] INFO  GenCommands - 1000 2:6:4
11:14:45.698 [commands] INFO  GenCommands - 1000 2:10:7
11:14:46.707 [commands] INFO  GenCommands - 1000 6:3:3
11:14:47.721 [commands] INFO  GenCommands - 1000 6:2:4
11:14:48.732 [commands] INFO  GenCommands - 1000 8:6:3
11:14:49.742 [commands] INFO  GenCommands - 1000 5:4:2
11:14:50.755 [commands] INFO  GenCommands - 1000 1:2:2
11:14:51.758 [commands] INFO  GenCommands - 1000 2:3:6
11:14:52.765 [commands] INFO  GenCommands - 1000 4:10:5
11:14:53.775 [commands] INFO  GenCommands - 1000 10:1:4
11:14:54.784 [commands] INFO  GenCommands - 1000 6:3:5
11:14:55.796 [commands] INFO  GenCommands - 1000 3:9:4
11:14:56.810 [commands] INFO  GenCommands - 1000 5:6:6
11:14:57.823 [commands] INFO  GenCommands - 1000 5:3:5
11:14:58.831 [commands] INFO  GenCommands - 1000 7:8:4
11:14:59.846 [commands] INFO  GenCommands - 1000 3:2:3
11:15:00.856 [commands] INFO  GenCommands - 1000 1:6:1
11:15:01.870 [commands] INFO  GenCommands - 1000 7:8:6
11:15:02.883 [commands] INFO  GenCommands - 1000 5:3:4
11:15:03.888 [commands] INFO  GenCommands - 1000 4:7:7
11:15:04.894 [commands] INFO  GenCommands - 1000 1:4:6
11:18:15.649 [commands] INFO  GenCommands - 1000 3:7:2
11:18:16.651 [commands] INFO  GenCommands - 1000 10:1:6
11:18:17.663 [commands] INFO  GenCommands - 500 7:10:1
11:18:18.165 [commands] INFO  GenCommands - 500 1:4:8
11:18:18.671 [commands] INFO  GenCommands - 500 9:1:6
11:18:19.181 [commands] INFO  GenCommands - 500 8:2:4
11:18:19.686 [commands] INFO  GenCommands - 500 5:10:6
11:18:20.193 [commands] INFO  GenCommands - 500 2:7:5
11:18:20.701 [commands] INFO  GenCommands - 500 9:6:8
11:18:21.210 [commands] INFO  GenCommands - 500 6:3:5
11:18:21.721 [commands] INFO  GenCommands - 2000 3:2:2
11:18:23.728 [commands] INFO  GenCommands - 2000 10:7:1
11:18:25.732 [commands] INFO  GenCommands - 2000 8:2:1
11:19:50.041 [commands] INFO  GenCommands - 1000 4:6:6
11:19:51.058 [commands] INFO  GenCommands - 1000 6:9:7
11:19:52.061 [commands] INFO  GenCommands - 1000 4:7:6
11:19:53.067 [commands] INFO  GenCommands - 1000 4:2:7
11:19:54.082 [commands] INFO  GenCommands - 1000 8:3:3
11:19:55.096 [commands] INFO  GenCommands - 1000 3:6:6
11:19:56.108 [commands] INFO  GenCommands - 1000 7:9:7
