18:30:44.714 [commands] INFO  GenCommands - 1000 9:4:7
18:30:45.720 [commands] INFO  GenCommands - 1000 2:8:1
18:30:46.733 [commands] INFO  GenCommands - 1000 10:6:1
18:30:47.735 [commands] INFO  GenCommands - 1000 5:6:3
18:30:48.749 [commands] INFO  GenCommands - 1000 9:6:7
18:30:49.759 [commands] INFO  GenCommands - 1000 2:10:3
18:30:50.768 [commands] INFO  GenCommands - 1000 3:8:7
18:30:51.776 [commands] INFO  GenCommands - 500 1:10:5
18:30:52.282 [commands] INFO  GenCommands - 500 8:10:5
18:30:52.794 [commands] INFO  GenCommands - 500 5:2:5
18:30:53.307 [commands] INFO  GenCommands - 500 7:3:7
18:30:53.820 [commands] INFO  GenCommands - 500 9:3:7
18:30:54.335 [commands] INFO  GenCommands - 500 2:5:5
18:30:54.844 [commands] INFO  GenCommands - 500 5:1:5
18:30:55.356 [commands] INFO  GenCommands - 500 5:4:3
18:30:55.870 [commands] INFO  GenCommands - 500 1:1:7
18:30:56.383 [commands] INFO  GenCommands - 500 9:9:7
18:30:56.895 [commands] INFO  GenCommands - 500 1:7:6
18:30:57.406 [commands] INFO  GenCommands - 2000 3:4:7
18:30:59.416 [commands] INFO  GenCommands - 2000 6:4:3
18:31:01.430 [commands] INFO  GenCommands - 2000 2:2:3
18:31:03.442 [commands] INFO  GenCommands - 2000 4:8:8
18:31:05.451 [commands] INFO  GenCommands - 2000 3:4:8
18:31:07.465 [commands] INFO  GenCommands - 2000 5:1:8
18:31:09.472 [commands] INFO  GenCommands - 400 7:6:2
18:31:09.874 [commands] INFO  GenCommands - 400 8:6:3
18:31:10.280 [commands] INFO  GenCommands - 400 5:6:5
18:31:10.682 [commands] INFO  GenCommands - 400 4:3:4
18:31:11.088 [commands] INFO  GenCommands - 400 3:1:6
18:31:11.492 [commands] INFO  GenCommands - 400 3:10:7
18:31:11.897 [commands] INFO  GenCommands - 400 6:4:6
18:31:12.302 [commands] INFO  GenCommands - 400 9:9:3
18:31:12.709 [commands] INFO  GenCommands - 400 9:5:4
18:31:13.118 [commands] INFO  GenCommands - 400 4:6:3
18:31:13.525 [commands] INFO  GenCommands - 400 7:8:1
18:31:13.940 [commands] INFO  GenCommands - 400 4:3:5
18:31:14.343 [commands] INFO  GenCommands - 400 10:4:7
